Name	Value	Description
Barren	1	At least 60% of area is non-vegetated barren (sand, rock, soil) or permanent snow/ice with less than 10% vegetation.
Permanent Snow and Ice	2	At least 60% of area is covered by snow and ice for at least 10 months of the year.
Water Bodies	3	At least 60% of area is covered by permanent water bodies.
Dense Forests	10	Tree cover >60% (canopy >2m).
Open Forests	20	Tree cover 10-60% (canopy >2m).
Woody Wetlands	27	Shrub and tree cover >10% (>1m). Permanently or seasonally inundated
Grasslands	30	Dominated by herbaceous annuals (<2m) >10% cover.
Shrublands	40	Shrub cover >60% (1-2m).
Herbaceous Wetlands	50	Dominated by herbaceous annuals (<2m) >10% cover. Permanently or seasonally inundated.
Tundra	51	Tree cover <10%. Snow-covered for at least 8 months of the year.
Unclassified	255	Has not received a map label because of missing inputs.
